work_date,week_start,month,shift,department,orders_picked,accurate_orders,units_picked,labor_hours,quality_defects,safety_incidents
2025-01-04,2024-12-30,2025-01,Night,Pick,3370,3363,10783,89.4,25,0
2025-01-04,2024-12-30,2025-01,Day,Pack,4809,4780,15388,108.7,31,0
2025-01-04,2024-12-30,2025-01,Night,Pack,2849,2848,9116,79.8,27,0
2025-01-04,2024-12-30,2025-01,Day,Ship,2439,2402,7805,66.6,14,0
2025-01-04,2024-12-30,2025-01,Night,Ship,2135,2112,6832,72.4,11,0
2025-01-04,2024-12-30,2025-01,Day,Returns,1722,1693,5512,73.3,61,0
2025-01-04,2024-12-30,2025-01,Night,Returns,1809,1764,5789,84.1,31,0
2025-01-05,2024-12-30,2025-01,Day,Inbound,2042,2036,6535,74.5,19,0
2025-01-05,2024-12-30,2025-01,Night,Inbound,2089,2070,6685,85.9,22,0
2025-01-05,2024-12-30,2025-01,Day,Pick,3674,3655,11756,106.9,28,0
2025-01-05,2024-12-30,2025-01,Night,Pick,2405,2386,7697,71.0,15,0
2025-01-05,2024-12-30,2025-01,Day,Pack,3728,3713,11930,89.5,20,0
2025-01-05,2024-12-30,2025-01,Night,Pack,2858,2840,9144,72.2,24,0
2025-01-05,2024-12-30,2025-01,Day,Ship,2065,2055,6609,58.1,16,0
2025-01-05,2024-12-30,2025-01,Night,Ship,2963,2946,9481,96.0,25,0
2025-01-05,2024-12-30,2025-01,Day,Returns,2271,2231,7267,98.1,84,0
2025-01-05,2024-12-30,2025-01,Night,Returns,1803,1770,5770,78.8,52,0
2025-01-06,2025-01-06,2025-01,Day,Inbound,2735,2718,8751,95.8,25,0
2025-01-06,2025-01-06,2025-01,Night,Inbound,3403,3383,10890,117.2,36,0
2025-01-06,2025-01-06,2025-01,Day,Pick,3824,3802,12238,103.0,31,0
2025-01-06,2025-01-06,2025-01,Night,Pick,3895,3860,12465,124.0,36,0
2025-01-06,2025-01-06,2025-01,Day,Pack,4287,4254,13717,109.1,31,0
2025-01-06,2025-01-06,2025-01,Night,Pack,4002,3983,12808,86.4,17,0
2025-01-06,2025-01-06,2025-01,Day,Ship,3937,3879,12598,110.6,45,0
2025-01-06,2025-01-06,2025-01,Night,Ship,3113,3103,9963,91.8,16,0
2025-01-06,2025-01-06,2025-01,Day,Returns,2321,2268,7427,108.7,75,0
2025-01-06,2025-01-06,2025-01,Night,Returns,1669,1642,5340,98.4,48,0
2025-01-07,2025-01-06,2025-01,Day,Inbound,2334,2332,7468,87.2,27,0
2025-01-07,2025-01-06,2025-01,Night,Inbound,2028,2012,6491,66.7,16,0
2025-01-07,2025-01-06,2025-01,Day,Pick,3077,3067,9846,83.1,18,0
2025-01-07,2025-01-06,2025-01,Night,Pick,3508,3481,11227,108.2,33,0
2025-01-07,2025-01-06,2025-01,Day,Pack,3679,3668,11772,82.7,33,0
2025-01-07,2025-01-06,2025-01,Night,Pack,2641,2628,8452,71.2,25,0
2025-01-07,2025-01-06,2025-01,Day,Ship,2594,2568,8300,77.4,20,0
2025-01-07,2025-01-06,2025-01,Night,Ship,2928,2928,9368,94.3,14,0
2025-01-07,2025-01-06,2025-01,Day,Returns,1934,1890,6189,84.4,70,0
2025-01-07,2025-01-06,2025-01,Night,Returns,1733,1705,5547,84.9,32,0
2025-01-08,2025-01-06,2025-01,Day,Inbound,2438,2407,7800,87.9,32,0
2025-01-08,2025-01-06,2025-01,Night,Inbound,2043,2029,6539,79.2,19,0
2025-01-08,2025-01-06,2025-01,Day,Pick,3815,3774,12207,101.9,37,0
2025-01-08,2025-01-06,2025-01,Night,Pick,3352,3334,10725,89.7,43,0
2025-01-08,2025-01-06,2025-01,Day,Pack,5350,5330,17120,127.4,32,0
2025-01-08,2025-01-06,2025-01,Night,Pack,3118,3102,9976,74.2,27,0
2025-01-08,2025-01-06,2025-01,Day,Ship,2498,2475,7995,65.7,19,0
2025-01-08,2025-01-06,2025-01,Night,Ship,2797,2780,8951,92.6,35,0
2025-01-08,2025-01-06,2025-01,Day,Returns,2411,2364,7716,97.7,87,0
2025-01-08,2025-01-06,2025-01,Night,Returns,1780,1741,5695,90.9,50,0
2025-01-09,2025-01-06,2025-01,Day,Inbound,3186,3180,10194,113.5,38,0
2025-01-09,2025-01-06,2025-01,Night,Inbound,2456,2444,7860,88.7,35,0
2025-01-09,2025-01-06,2025-01,Day,Pick,3930,3872,12576,89.3,55,0
2025-01-09,2025-01-06,2025-01,Night,Pick,3185,3163,10191,95.8,35,0
2025-01-09,2025-01-06,2025-01,Day,Pack,4822,4817,15429,109.4,33,0
2025-01-09,2025-01-06,2025-01,Night,Pack,3258,3245,10426,80.9,19,0
2025-01-09,2025-01-06,2025-01,Day,Ship,2468,2454,7898,69.7,21,0
2025-01-09,2025-01-06,2025-01,Night,Ship,3603,3548,11531,120.2,38,0
2025-01-09,2025-01-06,2025-01,Day,Returns,1923,1892,6153,87.7,75,0
2025-01-09,2025-01-06,2025-01,Night,Returns,2580,2531,8256,128.0,76,0
2025-01-10,2025-01-06,2025-01,Day,Inbound,2642,2614,8453,82.3,48,0
2025-01-10,2025-01-06,2025-01,Night,Inbound,2019,1996,6462,82.7,20,0
2025-01-10,2025-01-06,2025-01,Day,Pick,3819,3797,12222,105.1,44,0
2025-01-10,2025-01-06,2025-01,Night,Pick,2371,2370,7586,66.8,21,0
2025-01-10,2025-01-06,2025-01,Day,Pack,4004,3991,12814,98.2,35,0
2025-01-10,2025-01-06,2025-01,Night,Pack,3906,3889,12500,101.6,35,0
2025-01-10,2025-01-06,2025-01,Day,Ship,4274,4214,13677,110.5,44,0
2025-01-10,2025-01-06,2025-01,Night,Ship,2343,2339,7499,70.4,14,0
2025-01-10,2025-01-06,2025-01,Day,Returns,1549,1515,4957,76.3,61,0
2025-01-10,2025-01-06,2025-01,Night,Returns,1408,1395,4506,76.9,38,0
2025-01-11,2025-01-06,2025-01,Day,Inbound,2676,2660,8563,96.7,17,0
2025-01-11,2025-01-06,2025-01,Night,Inbound,1701,1691,5444,68.2,20,0
2025-01-11,2025-01-06,2025-01,Day,Pick,2801,2791,8962,75.5,34,0
2025-01-11,2025-01-06,2025-01,Night,Pick,3336,3300,10674,104.3,47,0
2025-01-11,2025-01-06,2025-01,Day,Pack,4030,4014,12897,86.7,41,0
2025-01-11,2025-01-06,2025-01,Night,Pack,2214,2214,7086,58.0,20,0
2025-01-11,2025-01-06,2025-01,Day,Ship,1970,1964,6304,60.1,26,0
2025-01-11,2025-01-06,2025-01,Night,Ship,2028,2012,6489,78.5,19,0
2025-01-11,2025-01-06,2025-01,Day,Returns,1707,1679,5463,74.9,61,0
2025-01-11,2025-01-06,2025-01,Night,Returns,1301,1283,4162,62.5,47,0
2025-01-12,2025-01-06,2025-01,Day,Inbound,2255,2233,7215,81.0,22,0
2025-01-12,2025-01-06,2025-01,Night,Inbound,1904,1899,6093,68.3,18,0
2025-01-12,2025-01-06,2025-01,Day,Pick,3265,3265,10447,93.6,36,0
2025-01-12,2025-01-06,2025-01,Night,Pick,2544,2521,8142,76.9,32,0
2025-01-12,2025-01-06,2025-01,Day,Pack,3829,3818,12254,101.5,28,0
2025-01-12,2025-01-06,2025-01,Night,Pack,2417,2397,7734,55.1,22,0
2025-01-12,2025-01-06,2025-01,Day,Ship,2693,2670,8619,82.0,22,0
2025-01-12,2025-01-06,2025-01,Night,Ship,1926,1920,6164,61.5,7,0
2025-01-12,2025-01-06,2025-01,Day,Returns,1428,1404,4569,60.7,52,0
2025-01-12,2025-01-06,2025-01,Night,Returns,1353,1325,4329,68.0,40,0
2025-01-13,2025-01-13,2025-01,Day,Inbound,3418,3386,10937,118.5,40,0
2025-01-13,2025-01-13,2025-01,Night,Inbound,3587,3563,11477,122.2,27,0
2025-01-13,2025-01-13,2025-01,Day,Pick,3959,3918,12670,98.0,38,0
2025-01-13,2025-01-13,2025-01,Night,Pick,4384,4336,14030,125.0,36,0
2025-01-13,2025-01-13,2025-01,Day,Pack,5041,5033,16132,112.2,22,0
2025-01-13,2025-01-13,2025-01,Night,Pack,2393,2393,7657,65.7,12,0
2025-01-13,2025-01-13,2025-01,Day,Ship,2636,2621,8436,81.3,32,0
2025-01-13,2025-01-13,2025-01,Night,Ship,3460,3450,11073,103.2,11,0
2025-01-13,2025-01-13,2025-01,Day,Returns,1694,1654,5421,80.5,30,0
2025-01-13,2025-01-13,2025-01,Night,Returns,1286,1258,4114,64.9,35,0
2025-01-14,2025-01-13,2025-01,Day,Inbound,1934,1923,6188,66.3,15,0
2025-01-14,2025-01-13,2025-01,Night,Inbound,2737,2720,8757,97.6,27,0
2025-01-14,2025-01-13,2025-01,Day,Pick,4668,4652,14938,116.0,72,0
2025-01-14,2025-01-13,2025-01,Night,Pick,4581,4565,14658,125.8,49,0
2025-01-14,2025-01-13,2025-01,Day,Pack,3037,3011,9719,73.6,21,0
2025-01-14,2025-01-13,2025-01,Night,Pack,3238,3211,10360,75.7,32,0
2025-01-14,2025-01-13,2025-01,Day,Ship,2579,2566,8252,68.4,26,0
2025-01-14,2025-01-13,2025-01,Night,Ship,3961,3928,12676,125.2,25,0
2025-01-14,2025-01-13,2025-01,Day,Returns,2063,2033,6602,93.4,68,0
2025-01-14,2025-01-13,2025-01,Night,Returns,2078,2056,6651,106.7,53,0
2025-01-15,2025-01-13,2025-01,Day,Inbound,3177,3152,10166,115.9,39,0
2025-01-15,2025-01-13,2025-01,Night,Inbound,2070,2056,6625,82.7,22,0
2025-01-15,2025-01-13,2025-01,Day,Pick,2442,2415,7814,66.6,22,0
2025-01-15,2025-01-13,2025-01,Night,Pick,2168,2147,6939,72.4,20,0
2025-01-15,2025-01-13,2025-01,Day,Pack,5817,5804,18613,126.9,57,0
2025-01-15,2025-01-13,2025-01,Night,Pack,2818,2798,9017,70.9,28,0
2025-01-15,2025-01-13,2025-01,Day,Ship,3726,3692,11924,114.3,32,0
2025-01-15,2025-01-13,2025-01,Night,Ship,2848,2844,9114,89.8,17,0
2025-01-15,2025-01-13,2025-01,Day,Returns,2350,2322,7521,111.6,60,0
2025-01-15,2025-01-13,2025-01,Night,Returns,1632,1603,5221,81.6,61,0
2025-01-16,2025-01-13,2025-01,Day,Inbound,2493,2475,7978,79.6,42,0
2025-01-16,2025-01-13,2025-01,Night,Inbound,3451,3405,11044,128.7,38,0
2025-01-16,2025-01-13,2025-01,Day,Pick,4374,4306,13998,115.4,42,0
2025-01-16,2025-01-13,2025-01,Night,Pick,3110,3108,9953,91.1,14,0
2025-01-16,2025-01-13,2025-01,Day,Pack,3619,3600,11582,80.8,30,0
2025-01-16,2025-01-13,2025-01,Night,Pack,4206,4197,13458,99.1,44,0
2025-01-16,2025-01-13,2025-01,Day,Ship,2296,2287,7348,66.7,26,0
2025-01-16,2025-01-13,2025-01,Night,Ship,2315,2307,7408,81.5,29,0
2025-01-16,2025-01-13,2025-01,Day,Returns,1618,1601,5178,78.8,57,0
2025-01-16,2025-01-13,2025-01,Night,Returns,1623,1602,5195,86.6,42,0
2025-01-17,2025-01-13,2025-01,Day,Inbound,2216,2199,7091,78.1,27,0
2025-01-17,2025-01-13,2025-01,Night,Inbound,2061,2047,6594,74.9,25,0
2025-01-17,2025-01-13,2025-01,Day,Pick,3236,3226,10355,85.8,37,0
2025-01-17,2025-01-13,2025-01,Night,Pick,4470,4438,14303,124.2,55,0
2025-01-17,2025-01-13,2025-01,Day,Pack,3221,3215,10306,68.5,32,0
2025-01-17,2025-01-13,2025-01,Night,Pack,4012,4011,12837,103.0,33,0
2025-01-17,2025-01-13,2025-01,Day,Ship,2364,2348,7565,68.4,20,0
2025-01-17,2025-01-13,2025-01,Night,Ship,3612,3573,11559,126.7,31,0
2025-01-17,2025-01-13,2025-01,Day,Returns,2287,2241,7318,99.7,60,0
2025-01-17,2025-01-13,2025-01,Night,Returns,2570,2523,8225,128.4,75,0
2025-01-18,2025-01-13,2025-01,Day,Inbound,2264,2244,7245,82.4,26,0
2025-01-18,2025-01-13,2025-01,Night,Inbound,2058,2048,6584,87.4,28,0
2025-01-18,2025-01-13,2025-01,Day,Pick,2917,2885,9333,80.4,9,0
2025-01-18,2025-01-13,2025-01,Night,Pick,2688,2666,8602,78.1,23,0
2025-01-18,2025-01-13,2025-01,Day,Pack,3671,3664,11747,91.0,30,0
2025-01-18,2025-01-13,2025-01,Night,Pack,2821,2785,9026,70.8,19,0
2025-01-18,2025-01-13,2025-01,Day,Ship,2748,2725,8794,79.1,21,0
2025-01-18,2025-01-13,2025-01,Night,Ship,3058,3043,9786,97.8,29,0
2025-01-18,2025-01-13,2025-01,Day,Returns,1857,1819,5943,96.2,35,0
2025-01-18,2025-01-13,2025-01,Night,Returns,1070,1053,3424,58.9,28,0
2025-01-19,2025-01-13,2025-01,Day,Inbound,2713,2705,8681,82.3,17,0
2025-01-19,2025-01-13,2025-01,Night,Inbound,1504,1489,4814,61.1,17,0
2025-01-19,2025-01-13,2025-01,Day,Pick,2305,2296,7375,57.3,22,0
2025-01-19,2025-01-13,2025-01,Night,Pick,2782,2763,8903,90.4,25,0
2025-01-19,2025-01-13,2025-01,Day,Pack,2770,2746,8863,61.9,20,0
2025-01-19,2025-01-13,2025-01,Night,Pack,2300,2299,7359,64.4,26,0
2025-01-19,2025-01-13,2025-01,Day,Ship,2775,2755,8881,83.3,36,0
2025-01-19,2025-01-13,2025-01,Night,Ship,2118,2110,6777,63.4,31,0
2025-01-19,2025-01-13,2025-01,Day,Returns,1842,1807,5896,84.8,60,0
2025-01-19,2025-01-13,2025-01,Night,Returns,1907,1872,6102,95.3,60,0
2025-01-20,2025-01-20,2025-01,Day,Inbound,3344,3310,10702,108.5,21,0
2025-01-20,2025-01-20,2025-01,Night,Inbound,2135,2123,6832,76.6,22,0
2025-01-20,2025-01-20,2025-01,Day,Pick,3492,3478,11173,82.0,41,0
2025-01-20,2025-01-20,2025-01,Night,Pick,2638,2616,8441,78.8,31,0
2025-01-20,2025-01-20,2025-01,Day,Pack,5380,5326,17216,125.4,42,0
2025-01-20,2025-01-20,2025-01,Night,Pack,3904,3878,12493,97.9,24,0
2025-01-20,2025-01-20,2025-01,Day,Ship,4336,4336,13874,127.2,11,0
2025-01-20,2025-01-20,2025-01,Night,Ship,3218,3200,10296,113.4,17,0
2025-01-20,2025-01-20,2025-01,Day,Returns,2353,2299,7531,109.8,82,0
2025-01-20,2025-01-20,2025-01,Night,Returns,1914,1879,6125,94.0,32,0
2025-01-21,2025-01-20,2025-01,Day,Inbound,2853,2842,9131,102.3,18,0
2025-01-21,2025-01-20,2025-01,Night,Inbound,3196,3161,10227,125.4,35,0
2025-01-21,2025-01-20,2025-01,Day,Pick,2974,2947,9516,85.4,29,0
2025-01-21,2025-01-20,2025-01,Night,Pick,3674,3648,11756,106.5,44,0
2025-01-21,2025-01-20,2025-01,Day,Pack,3708,3706,11864,79.1,35,0
2025-01-21,2025-01-20,2025-01,Night,Pack,5691,5657,18211,127.0,37,0
2025-01-21,2025-01-20,2025-01,Day,Ship,3272,3246,10471,88.8,22,0
2025-01-21,2025-01-20,2025-01,Night,Ship,4137,4116,13238,118.2,56,0
2025-01-21,2025-01-20,2025-01,Day,Returns,2447,2423,7830,110.2,102,0
2025-01-21,2025-01-20,2025-01,Night,Returns,2088,2056,6681,128.6,55,0
2025-01-22,2025-01-20,2025-01,Day,Inbound,2347,2304,7510,66.6,26,0
2025-01-22,2025-01-20,2025-01,Night,Inbound,2399,2371,7678,86.0,20,0
2025-01-22,2025-01-20,2025-01,Day,Pick,3443,3415,11017,94.5,35,0
2025-01-22,2025-01-20,2025-01,Night,Pick,2777,2753,8887,83.8,29,0
2025-01-22,2025-01-20,2025-01,Day,Pack,3011,2983,9634,68.5,21,0
2025-01-22,2025-01-20,2025-01,Night,Pack,5454,5405,17452,128.2,50,0
2025-01-22,2025-01-20,2025-01,Day,Ship,4235,4213,13553,118.3,37,0
2025-01-22,2025-01-20,2025-01,Night,Ship,3657,3621,11701,113.5,20,0
2025-01-22,2025-01-20,2025-01,Day,Returns,1351,1336,4324,70.1,41,0
2025-01-22,2025-01-20,2025-01,Night,Returns,2002,1964,6405,104.6,66,0
2025-01-23,2025-01-20,2025-01,Day,Inbound,1918,1903,6137,64.4,31,0
2025-01-23,2025-01-20,2025-01,Night,Inbound,1815,1788,5808,68.1,25,0
2025-01-23,2025-01-20,2025-01,Day,Pick,3304,3277,10572,90.2,31,0
2025-01-23,2025-01-20,2025-01,Night,Pick,3568,3538,11418,101.7,21,0
2025-01-23,2025-01-20,2025-01,Day,Pack,3540,3533,11329,75.7,29,0
2025-01-23,2025-01-20,2025-01,Night,Pack,4545,4532,14544,109.7,40,0
2025-01-23,2025-01-20,2025-01,Day,Ship,2747,2740,8789,83.5,20,0
2025-01-23,2025-01-20,2025-01,Night,Ship,1910,1909,6112,64.4,13,0
2025-01-23,2025-01-20,2025-01,Day,Returns,2023,1989,6475,92.6,35,0
2025-01-23,2025-01-20,2025-01,Night,Returns,1803,1775,5771,86.3,39,0
2025-01-24,2025-01-20,2025-01,Day,Inbound,3895,3854,12465,122.6,44,0
2025-01-24,2025-01-20,2025-01,Night,Inbound,2139,2139,6846,76.7,31,0
2025-01-24,2025-01-20,2025-01,Day,Pick,4228,4217,13531,116.5,34,0
2025-01-24,2025-01-20,2025-01,Night,Pick,2909,2865,9310,86.8,22,0
2025-01-24,2025-01-20,2025-01,Day,Pack,5432,5396,17381,122.5,28,0
2025-01-24,2025-01-20,2025-01,Night,Pack,3745,3711,11985,105.7,29,0
2025-01-24,2025-01-20,2025-01,Day,Ship,3102,3094,9926,85.6,19,0
2025-01-24,2025-01-20,2025-01,Night,Ship,3651,3591,11683,118.9,41,0
2025-01-24,2025-01-20,2025-01,Day,Returns,1586,1552,5075,65.0,44,0
2025-01-24,2025-01-20,2025-01,Night,Returns,2614,2576,8366,128.7,42,0
2025-01-25,2025-01-20,2025-01,Day,Inbound,2195,2177,7024,73.9,16,0
2025-01-25,2025-01-20,2025-01,Night,Inbound,2253,2219,7209,84.7,27,0
2025-01-25,2025-01-20,2025-01,Day,Pick,4112,4098,13157,100.8,29,0
2025-01-25,2025-01-20,2025-01,Night,Pick,2111,2088,6755,64.8,23,0
2025-01-25,2025-01-20,2025-01,Day,Pack,2732,2713,8743,71.3,31,0
2025-01-25,2025-01-20,2025-01,Night,Pack,4233,4183,13546,103.1,45,0
2025-01-25,2025-01-20,2025-01,Day,Ship,2310,2297,7391,70.5,24,0
2025-01-25,2025-01-20,2025-01,Night,Ship,1644,1629,5262,57.8,10,0
2025-01-25,2025-01-20,2025-01,Day,Returns,2165,2130,6927,86.9,48,0
2025-01-25,2025-01-20,2025-01,Night,Returns,1169,1148,3740,60.9,43,0
2025-01-26,2025-01-20,2025-01,Day,Inbound,2706,2693,8659,84.3,31,0
2025-01-26,2025-01-20,2025-01,Night,Inbound,2167,2158,6935,91.3,31,0
2025-01-26,2025-01-20,2025-01,Day,Pick,2546,2527,8147,64.1,31,0
2025-01-26,2025-01-20,2025-01,Night,Pick,2384,2354,7629,68.3,26,0
2025-01-26,2025-01-20,2025-01,Day,Pack,3180,3160,10177,74.9,35,0
2025-01-26,2025-01-20,2025-01,Night,Pack,2788,2776,8920,67.7,25,0
2025-01-26,2025-01-20,2025-01,Day,Ship,2320,2300,7425,62.9,17,0
2025-01-26,2025-01-20,2025-01,Night,Ship,2516,2480,8052,80.7,27,0
2025-01-26,2025-01-20,2025-01,Day,Returns,1410,1384,4511,69.2,42,0
2025-01-26,2025-01-20,2025-01,Night,Returns,1614,1583,5164,79.1,52,0
2025-01-27,2025-01-27,2025-01,Day,Inbound,2739,2718,8765,95.1,27,0
2025-01-27,2025-01-27,2025-01,Night,Inbound,1797,1777,5749,72.7,29,1
2025-01-27,2025-01-27,2025-01,Day,Pick,3504,3490,11212,98.3,24,0
2025-01-27,2025-01-27,2025-01,Night,Pick,3217,3216,10295,92.7,24,0
2025-01-27,2025-01-27,2025-01,Day,Pack,5587,5575,17879,109.0,46,0
2025-01-27,2025-01-27,2025-01,Night,Pack,3476,3449,11124,95.7,29,0
2025-01-27,2025-01-27,2025-01,Day,Ship,3185,3166,10193,86.7,45,1
2025-01-27,2025-01-27,2025-01,Night,Ship,3709,3694,11870,113.3,39,0
2025-01-27,2025-01-27,2025-01,Day,Returns,3057,3008,9781,128.5,127,0
2025-01-27,2025-01-27,2025-01,Night,Returns,1463,1439,4681,77.6,68,0
2025-01-28,2025-01-27,2025-01,Day,Inbound,2275,2249,7279,73.3,24,0
2025-01-28,2025-01-27,2025-01,Night,Inbound,1704,1686,5453,72.3,24,0
2025-01-28,2025-01-27,2025-01,Day,Pick,4269,4269,13660,104.9,25,0
2025-01-28,2025-01-27,2025-01,Night,Pick,2907,2894,9301,94.7,29,0
2025-01-28,2025-01-27,2025-01,Day,Pack,5152,5152,16488,115.5,46,0
2025-01-28,2025-01-27,2025-01,Night,Pack,4054,4022,12972,114.0,28,0
2025-01-28,2025-01-27,2025-01,Day,Ship,4232,4189,13542,125.2,40,0
2025-01-28,2025-01-27,2025-01,Night,Ship,2939,2922,9404,103.2,19,0
2025-01-28,2025-01-27,2025-01,Day,Returns,1662,1633,5318,77.5,31,0
2025-01-28,2025-01-27,2025-01,Night,Returns,1870,1832,5984,92.7,52,0
2025-01-29,2025-01-27,2025-01,Day,Inbound,2982,2971,9542,111.0,31,0
2025-01-29,2025-01-27,2025-01,Night,Inbound,3408,3367,10907,127.4,38,0
2025-01-29,2025-01-27,2025-01,Day,Pick,4710,4687,15073,127.0,48,0
2025-01-29,2025-01-27,2025-01,Night,Pick,3117,3102,9973,94.2,40,0
2025-01-29,2025-01-27,2025-01,Day,Pack,3055,3032,9777,69.0,12,0
2025-01-29,2025-01-27,2025-01,Night,Pack,4465,4451,14289,106.7,35,0
2025-01-29,2025-01-27,2025-01,Day,Ship,3655,3629,11695,109.5,35,0
2025-01-29,2025-01-27,2025-01,Night,Ship,3258,3232,10426,107.2,27,0
2025-01-29,2025-01-27,2025-01,Day,Returns,2255,2218,7217,97.8,83,0
2025-01-29,2025-01-27,2025-01,Night,Returns,1628,1595,5209,84.0,44,0
2025-01-30,2025-01-27,2025-01,Day,Inbound,3502,3499,11208,118.8,29,0
2025-01-30,2025-01-27,2025-01,Night,Inbound,2181,2157,6979,80.2,17,0
2025-01-30,2025-01-27,2025-01,Day,Pick,4274,4259,13676,125.3,37,0
2025-01-30,2025-01-27,2025-01,Night,Pick,3733,3698,11945,113.2,37,0
2025-01-30,2025-01-27,2025-01,Day,Pack,5224,5187,16716,117.3,63,0
2025-01-30,2025-01-27,2025-01,Night,Pack,2996,2964,9586,76.4,30,0
2025-01-30,2025-01-27,2025-01,Day,Ship,3528,3487,11289,116.0,33,0
2025-01-30,2025-01-27,2025-01,Night,Ship,2718,2716,8698,92.8,17,0
2025-01-30,2025-01-27,2025-01,Day,Returns,2389,2334,7645,106.2,64,0
2025-01-30,2025-01-27,2025-01,Night,Returns,2147,2114,6869,114.0,64,0
2025-01-31,2025-01-27,2025-01,Day,Inbound,3352,3294,10726,103.9,41,0
2025-01-31,2025-01-27,2025-01,Night,Inbound,3160,3137,10113,115.8,51,0
2025-01-31,2025-01-27,2025-01,Day,Pick,3768,3751,12059,86.7,48,0
2025-01-31,2025-01-27,2025-01,Night,Pick,2706,2680,8660,72.0,40,0
2025-01-31,2025-01-27,2025-01,Day,Pack,3692,3665,11814,91.4,21,0
2025-01-31,2025-01-27,2025-01,Night,Pack,3409,3409,10909,89.5,36,0
2025-01-31,2025-01-27,2025-01,Day,Ship,3102,3080,9925,80.9,29,0
2025-01-31,2025-01-27,2025-01,Night,Ship,2466,2452,7890,86.2,30,0
2025-01-31,2025-01-27,2025-01,Day,Returns,2815,2746,9008,116.8,96,0
2025-01-31,2025-01-27,2025-01,Night,Returns,1453,1422,4650,83.1,35,0
2025-02-01,2025-01-27,2025-02,Day,Inbound,2280,2276,7295,75.2,23,0
2025-02-01,2025-01-27,2025-02,Night,Inbound,1649,1647,5278,64.6,25,0
2025-02-01,2025-01-27,2025-02,Day,Pick,2754,2742,8813,78.8,27,0
2025-02-01,2025-01-27,2025-02,Night,Pick,2840,2818,9089,97.0,9,0
2025-02-01,2025-01-27,2025-02,Day,Pack,3129,3114,10014,75.1,26,0
2025-02-01,2025-01-27,2025-02,Night,Pack,3652,3638,11687,92.0,18,0
2025-02-01,2025-01-27,2025-02,Day,Ship,2433,2417,7786,73.4,17,0
2025-02-01,2025-01-27,2025-02,Night,Ship,2539,2538,8124,78.2,15,0
2025-02-01,2025-01-27,2025-02,Day,Returns,1448,1422,4634,67.7,47,0
2025-02-01,2025-01-27,2025-02,Night,Returns,1973,1941,6313,94.5,60,0
2025-02-02,2025-01-27,2025-02,Day,Inbound,1963,1944,6283,64.6,26,0
